場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述,第1近AED距離_公尺,第2近AED距離_公尺,第3近AED距離_公尺,最近急救醫院,至最近醫院距離_公尺,預估送醫車程_分鐘
臺北市藝文推廣處-大稻埕戲苑,迪化街一段21號8、9樓,63000060,25.054862,121.51055,其他,其他場所,9樓服務台,9樓服務台(面對)右方,0.0,0.0,109.5,臺北市立聯合醫院(中興院區),458.0,0.9
陽明海運股份有限公司重慶大樓,重慶北路2段243號,63000060,25.062502,121.5139,其他,其他場所,陽明海運重慶大樓1樓大廳,重慶大樓大門出入口，進門左側。,59.2,59.8,109.3,馬偕紀念醫院(台北院區),958.1,1.9
臺北市大同區大龍國民小學,哈密街47號,63000060,25.073409,121.516692,其他,其他場所,臺北市大同區大龍國民小學	北側警衛室外,臺北市大同區大龍國民小學北側警衛室外,0.1,88.4,88.4,馬偕紀念醫院(台北院區),1763.4,3.5
臺北市大同區日新國民小學,太原路151號,63000060,25.054389,121.516476,其他,其他場所,日新國小紅樓外走廊(鄰近太原路門口),日新國小紅樓外走廊(鄰近太原路門口),0.0,98.3,152.9,馬偕紀念醫院(台北院區),722.0,1.4
臺北市政府環境保護局大同區清潔隊大龍分隊,承德路3段303之1號,63000060,25.076082,121.520677,其他,其他場所,在會議室,在會議室,104.9,260.6,375.1,新光吳火獅紀念醫院,1885.0,3.8
臺北市政府環境保護局環保稽查大隊,重慶北路3段347號4樓,63000060,25.0748652,121.5140597,其他,其他場所,2樓勤務中心,2樓勤務中心,0.0,0.0,0.0,馬偕紀念醫院(台北院區),2010.3,4.0
臺北市政府環境保護局大同區清潔隊蘭州分隊,敦煌路 臨151-1號,63000060,25.07651073,121.5116733,其他,其他場所,大門右前方,大門右前方,91.5,229.0,240.1,新光吳火獅紀念醫院,2046.3,4.1
臺北市政府環境保護局大同區清潔隊延平分隊,環河北路一段 臨63-1號,63000060,25.05258854,121.507413,其他,其他場所,大門進去正前方,大門進去正前方,171.7,198.4,274.5,臺北市立聯合醫院(中興院區),304.1,0.6
臺北市政府環境保護局公廁管理隊,重慶北路三段347號2樓,63000060,25.074865,121.51406,其他,其他場所,門口左側,門口左側,0.0,0.0,0.0,馬偕紀念醫院(台北院區),2010.2,4.0
臺北市政府環境保護局直屬隊機動分隊,鄭州路 臨50號,63000060,25.05021259,121.508718,其他,其他場所,警衛室門口,警衛室門口,109.1,122.8,126.6,臺北市立聯合醫院(中興院區),118.5,0.2
臺北市政府環境保護局大同區清潔隊建成分隊,民權西路194號之1,63000060,25.062771,121.514414,其他,其他場所,大門進去直走左邊,大門進去直走左邊,59.8,118.8,126.9,馬偕紀念醫院(台北院區),928.6,1.9
臺北市政府環境保護局環保稽查大隊,重慶北路3段347號4樓,63000060,25.0748652,121.5140597,其他,其他場所,5樓梯廳,5樓梯廳,0.0,0.0,0.0,馬偕紀念醫院(台北院區),2010.3,4.0
臺北市立聯合醫院中興院區,鄭州路145號,63000060,25.051196,121.50865,其他,其他場所,面對1樓大廳藥局左側,面對1樓大廳藥局左側,43.7,109.1,166.3,臺北市立聯合醫院(中興院區),114.7,0.2
臺北市大同區日新國民小學,太原路151號,63000060,25.054389,121.516476,其他,其他場所,旺台樓一樓(通往游泳池梯間),旺台樓一樓(通往游泳池梯間),0.0,98.3,152.9,馬偕紀念醫院(台北院區),722.0,1.4
台北互舍酒店,台北市大同區重慶北路二段172號,63000060,25.0593921,121.5133139,旅宿場所,旅館,本飯店大廳,櫃台旁邊，階梯上方。,56.6,128.5,178.4,馬偕紀念醫院(台北院區),904.7,1.8
建成國中地下停車場,長安西路37號之1 B1,63000060,25.050409,121.519657,其他,其他場所,長安西路37號之1 B1,管理室旁,77.2,172.2,195.6,馬偕紀念醫院(台北院區),910.9,1.8
?聰學校地下停車場,延平北路4段205號B1,63000060,25.074343,121.511706,其他,其他場所,延平北路4段205號B1,管理室旁,149.3,173.5,186.6,馬偕紀念醫院(台北院區),2068.5,4.1
大龍國小地下停車場,哈密街47號B1,63000060,25.073409,121.516693,其他,其他場所,哈密街47號B1,管理室旁,0.1,88.5,88.5,馬偕紀念醫院(台北院區),1763.4,3.5
臺灣新文化運動紀念館,寧夏路87號,63000060,25.059009,121.51515,大型休閒場所,博物館,1樓遊客休憩區,1樓遊客休憩區,124.4,136.4,190.1,馬偕紀念醫院(台北院區),715.6,1.4
星聚點壹號文創股份有限公司延平分公司,延平北路二段83號,63000060,25.0563616,121.5121508,大型休閒場所,視聽歌唱場所,左手處櫃台,大門進來左手邊第一個櫃台內,89.2,211.9,231.7,臺北市立聯合醫院(中興院區),663.8,1.3
新芳春茶行,民生西路309號,63000060,25.057081,121.512548,大型休閒場所,博物館,新芳春茶行,入口處右側,89.2,242.5,261.8,臺北市立聯合醫院(中興院區),752.7,1.5
臺北市立民權國民中學,重慶北路3段1號,63000060,25.063802,121.513866,其他,其他場所,民權國中校門口警衛室內沙發椅旁邊,學校位於重慶北路與民權西路交叉口,72.8,103.2,126.9,馬偕紀念醫院(台北院區),1038.5,2.1
臺北市大同區延平國民小學,昌吉街97號,63000060,25.066047,121.512454,其他,其他場所,學務處門旁,校門進入，至穿堂，左側第1間學務處，門旁,210.1,216.1,267.6,馬偕紀念醫院(台北院區),1305.1,2.6
臺北市立重慶國民中學,敦煌路19號,63000060,25.076266,121.518102,學校、大型集會場所,國中,中庭/總務處外牆,由校門口進入後，直走，穿過中庭，即可看到總務處右側外牆。,203.2,260.6,346.9,新光吳火獅紀念醫院,1881.6,3.8
臺北市立成淵高級中學,承德路2段235號,63000060,25.061177,121.518454,學校、大型集會場所,高中職,健康中心前走廊,學校內健康中心前面,0.0,192.4,202.9,馬偕紀念醫院(台北院區),494.4,1.0
樸苒安有限公司,承德路三段25號2.3樓,63000060,25.0640643,121.5185486,學校、大型集會場所,健身中心,櫃台左前方,2廁所、飲水機左側,85.6,86.8,178.5,馬偕紀念醫院(台北院區),737.2,1.5
承攜行旅台北重慶館,重慶北路一段62號,63000060,25.0518459,121.5138259,旅宿場所,旅館,旅館大廳,旅館一樓大廳,50.0,64.2,206.2,臺北市立聯合醫院(中興院區),432.1,0.9
臺北車站智選假日酒店,重慶北路一段73號,63000060,25.0522756,121.5142533,旅宿場所,飯店,櫃台旁,櫃台右側,15.2,64.2,143.8,臺北市立聯合醫院(中興院區),487.6,1.0
臺北市立圖書館大同分館,重慶北路3段318號,63000060,25.074304,121.513555,大型休閒場所,圖書館,臺北市立圖書館大同分館入口處右側，服務台旁之牆面。,臺北市立圖書館大同分館入口處右側，服務台旁之牆面。,45.5,80.4,80.4,馬偕紀念醫院(台北院區),1975.7,4.0
臺北試演場,延平北路四段200號2樓,63000060,25.075687,121.5116,大型休閒場所,演藝廳,二樓大廳,設置位置於2樓大廳,91.5,149.3,200.5,新光吳火獅紀念醫院,2131.8,4.3
臺北市大同區太平國民小學,延平北路二段239號,63000060,25.061411,121.511471,其他,其他場所,行政大樓一樓,行政大樓一樓穿堂，總務處門口旁,40.9,214.2,233.0,馬偕紀念醫院(台北院區),1136.0,2.3
臺北市政府工務局衛生下水道工程處,酒泉街235號,63000060,25.0725688,121.5104486,其他,其他場所,本處1樓大廳,本處1樓大廳收發室旁,0.0,233.9,364.4,馬偕紀念醫院(台北院區),1975.8,4.0
京站實業股份有限公司,承德路一段一號,63000060,25.049449,121.517916,大型購物場所,百貨業,1F Q1出入口,1F 客服中心前,45.0,53.2,98.7,臺北市立聯合醫院(中興院區),842.4,1.7
京站實業股份有限公司,承德路一段一號,63000060,25.049135,121.518315,大型購物場所,百貨業,B3 東側,B3 東側手扶梯旁,46.4,53.2,88.2,國立臺灣大學醫學院附設醫院,868.3,1.7
臺北市立成淵高級中學,承德路2段235號,63000060,25.061177,121.518454,學校、大型集會場所,高中職,學生活動中心1樓,成淵高級中學學生活動中心1樓,0.0,192.4,202.9,馬偕紀念醫院(台北院區),494.4,1.0
臺北市大同區大橋國民小學,重慶北路三段2號,63000060,25.06428715,121.5133787,學校、大型集會場所,國小,大橋國小川堂,川堂右側,72.8,126.1,136.3,馬偕紀念醫院(台北院區),1109.9,2.2
臺北市立忠孝國民中學,西寧北路32號,63000060,25.051223,121.508218,學校、大型集會場所,國中,穿堂左側牆面,"由校門進入,面對穿堂左側牆面",43.7,122.8,144.5,臺北市立聯合醫院(中興院區),156.7,0.3
臺北市大同運動中心,大龍街51號,63000060,25.064769,121.516146,學校、大型集會場所,健身中心,大同運動中心1F梯廳,本中心1F大廳電梯旁位置,0.0,84.7,114.6,馬偕紀念醫院(台北院區),941.6,1.9
給力健身房火山店,南京西路76號B1,63000060,25.05294914,121.5184056,大型休閒場所,運動場館(如小巨蛋),場館中間,場館中間靠牆，飲水機區域,67.8,94.2,102.8,馬偕紀念醫院(台北院區),705.6,1.4
活躍肌力訓練工作室,雙連街53巷14號1樓,63000060,25.0592579,121.5195186,學校、大型集會場所,健身中心,活躍肌力訓練工作室,教室內,200.3,238.2,238.2,馬偕紀念醫院(台北院區),290.6,0.6
財政部關務署,塔城街13號,63000060,25.0513582,121.5108156,其他,其他場所,關務署主樓1F,大廳1樓右邊,59.5,119.9,125.9,臺北市立聯合醫院(中興院區),128.4,0.3
