場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58208,第33排ABC行李艙
芮宜股份有限公司,信義路2段104號8樓,63000030,25.0338325,121.527538,學校、大型集會場所,健身房,入口左邊,入口左邊，櫃子下層
唯欣健康股份有限公司,南京東路四段137號7樓,63000010,25.0518323,121.5553266,其他,其他場所,休息區,休息區
鴻鑫運動企業社,忠孝東路一段15號3樓,63000050,25.0448673,121.5241242,其他,其他場所,台北市中正區忠孝東路一段15號3樓,門口進來後左手邊的層架上
鎔德股份有限公司(內湖展示中心),舊宗路一段36號,63000100,25.0581736,121.5804359,大型購物場所,商場,1F入口處,鎔德股份有限公司(新車展示中心)
鎔德股份有限公司(行善服務中心),行善路48巷9號,63000100,25.0572132,121.575533,其他,其他場所,1F電梯前,鎔德股份有限公司(行善服務中心)
指南宮管理委員會,萬壽路115號,63000080,24.979845,121.586632,其他,其他場所,純陽寶殿茶亭內,"茶亭內,宣道廳門口旁"
臺北市非政府組織NGO會館,青島東路8號,63000050,25.04358799,121.5221648,其他,其他場所,臺北市青島東路8號,演講室大廳櫃檯旁
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58509,行李艙
國家住宅及都市更新中心,民生東路一段21號,63000040,25.058223,121.524257,其他,其他場所,1F大廳,國家住宅及都市更新中心1F大廳
臺北市身心障礙綜合服務中心,長安西路5巷2號,63000040,25.0504365,121.5208104,其他,其他場所,1樓大廳,1樓大廳服務台及飲水機間走道牆上
現代化食品藥物國家級實驗大樓暨行政及訓練大樓興建工程,昆陽街161-2號旁工地,63000090,25.0489186,121.594862,其他,其他場所,保全亭旁,衛福部旁食藥署案工地的保全亭旁
楷穎運動國際有限公司,中山北路七段156-1號一樓,63000110,25.1238679,121.532749,學校、大型集會場所,健身房,本場所大廳,台北市士林區中山北路七段156-1號一樓
臺北市立中正國民中學,愛國東路158號,63000050,25.032339,121.522007,學校、大型集會場所,大專院校,中正國中活動中心2樓,活動中心2樓
台灣虎航股份有限公司,敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,"B-50023航機, 第13排 DEF行李艙",航機值勤時用
台灣虎航股份有限公司,敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,"B-50025航機,第13排 DEF行李艙",航機值勤時用
臺北市內湖區西湖國民小學,環山路一段25號,63000100,25.08383,121.565699,其他,其他場所,大門口川堂,校門口進來川堂處
臺北市內湖區新湖國民小學,民權東路6段138號,63000100,25.068226,121.588549,其他,其他場所,學務處前,新湖國小學務處前
巨平方健身房,中山北路二段183之5號,63000040,25.0636027,121.5227989,其他,其他場所,二樓,飲水機旁
臺北市士林區社子國民小學,延平北路六段308號,63000110,25.085495,121.507988,其他,其他場所,校門口左方民族樓穿堂,進入校門口左方民族樓穿堂(健康中心旁)
Curves 女性專用30分鐘健身中心文山保儀店,保儀路11號4F-1,63000080,24.988546,121.568673,學校、大型集會場所,健身房,可爾姿文山保儀店,木柵市場 第一銀行 樓上四樓
城市學校財團法人臺北城市科技大學,學園路2號,63000120,25.133617,121.468879,學校、大型集會場所,大專院校,行政大樓一樓學務處旁,行政大樓一樓學務處旁
臺北市政府社會局松山老人服務中心,健康路317號2樓,63000010,25.054432,121.566513,其他,其他場所,臺北市松山老人服務暨日間照顧中心,二樓行政區女廁旁
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58202,第33排ABC行李艙
保證責任臺北市台北地下街場地利用合作社,市民大道1段100號B1,63000050,25.04844486,121.5174799,大型購物場所,地下街,B2停車管理處,靠B2Y13出口
觀示苑股份有限公司忠孝分公司,忠孝東路四段200號13樓,63000030,25.04124061,121.552113,其他,其他場所,會館大廳,會館大廳
觀示苑股份有限公司天母分公司,忠誠路2段二十一巷二十七號1樓,63000110,25.1113989,121.5299913,其他,其他場所,會館大廳,大廳接待區
永春活力館,松山路342巷13號1樓,63000020,25.0413976,121.5772589,學校、大型集會場所,健身中心,本館二樓,本館二樓電梯出入口處
榮星花園游泳池,建國北路三段39號,63000040,25.0638648,121.5378032,大型休閒場所,運動場館(如小巨蛋),2F健身房,2F健身房
榮星花園游泳池,建國北路三段39號,63000040,25.0638648,121.5378032,大型休閒場所,運動場館(如小巨蛋),1F櫃台旁,1F櫃台旁
合作金庫商業銀行-資訊部,信義路四段30巷9號,63000030,25.03272182,121.5446863,其他,其他場所,1樓大廳,1樓大廳
國立中正紀念堂管理處,中山南路21號,63000050,25.034594,121.521664,觀光旅遊地區,文化園區,大孝門廳護理站前,國立中正紀念堂 大孝門護理站前
國立中正紀念堂管理處,中山南路21號,63000050,25.034594,121.521664,觀光旅遊地區,文化園區,國立中正紀念堂4樓上廳,國立中正紀念堂4樓上廳
永動定律健身訓練工作室,長安東路二段204號,63000040,25.0481827,121.5418473,其他,其他場所,入門後右手邊牆壁上,入門後右手邊牆壁上
臺北市北投區湖山國民小學,湖底路11號,63000120,25.150082,121.535783,學校、大型集會場所,國小,保健室旁梯間,教學大樓一樓左側樓梯口(飲水機旁)
美福食集,民善街128號1樓,63000100,25.0612852,121.5748708,大型購物場所,商場,美福食集入口,美福食集入口
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58303,第68排HK行李艙
探索國際開股份有限公司新舍商旅林森分公司(新舍商旅xinshe_linsen),林森北路477號,63000040,25.060814,121.525722,旅宿場所,旅館,旅館櫃檯旁,淺色建築物
玉山銀行股份有限公司(第二總部大樓A棟),敦化北路315號,63000010,25.05935517,121.5502723,其他,其他場所,進大門後左手邊。,進大門後左手邊。
玉山商業銀行股份有限公司(博愛大樓),永綏街5號,63000050,25.043193,121.511074,其他,其他場所,進大門後右手邊。,進大門後右手邊。
玉山商業銀行股份有限公司(總部大樓),民生東路3段115號,63000010,25.057932,121.546642,其他,其他場所,進大門後右手邊。,進大門後右手邊。
玉山銀行股份有限公司(第二總部大樓B棟),敦化北路313巷2號,63000010,25.05885949,121.5502014,其他,其他場所,進大門後右側。,進大門後右側。
玉山商業銀行股份有限公司(登峰大樓),撫順街四十一巷十三號,63000040,25.06427,121.519508,其他,其他場所,進大門後左手邊。,進大門後左手邊。
玉山商業銀行股份有限公司(科技大樓),天祥路86巷1號,63000040,25.064295,121.520376,其他,其他場所,進大門後左手邊。,進大門後左手邊。
進化論Evolution Fitness健身房,復興南路一段380,63000030,25.0341439,121.543263,學校、大型集會場所,健身房,進化論健身房B2櫃台,進化論健身房B2櫃台
瓶蓋工廠台北製造所,南港路二段13號,63000090,25.05375837,121.6042036,觀光旅遊地區,文化園區,I棟服務台,瓶蓋工廠I棟服務台旁
瓶蓋工廠台北製造所,南港路二段13號,63000090,25.05375837,121.6042036,觀光旅遊地區,文化園區,實證場域服務台,A1入口處服務台
微風場站開發股份有限公司,北平西路3號2樓,63000050,25.048203,121.516535,大型購物場所,商場,二樓東北角落,二樓服務台斜前方
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58508,行李艙
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58207,第33排ABC行李艙
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58506,行李艙
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58211,第33排ABC行李艙
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58203,第33排ABC行李艙
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58501,行李艙
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58213,第33排ABC行李艙
野村證券投資信託股份有限公司(臺北市),信義路5段7號30樓,63000020,25.033964,121.564472,其他,其他場所,野村證券投資信託股份有限公司,台北101大樓-野村證券投資信託(股)公司大門內側
臺北捷運動物園站BR01,新光路2段32號,63000080,24.998269,121.579412,交通要衝,捷運站,捷運文湖線動物園站,動物園站3樓大廳
臺北捷運木柵站BR02,木柵路4段135號,63000080,24.998241,121.573145,交通要衝,捷運站,捷運文湖線木柵站,木柵站1樓大廳
臺北捷運萬芳社區站BR03,萬芳路60號,63000080,24.998605,121.568058,交通要衝,捷運站,捷運文湖線萬芳社區站,萬芳社區站1樓大廳
臺北捷運萬芳醫院站BR04,興隆路3段113號,63000080,24.999386,121.558152,交通要衝,捷運站,捷運文湖線萬芳醫院站,萬芳醫院站3樓大廳
臺北捷運辛亥站BR05,辛亥路4段128號,63000080,25.005475,121.557107,交通要衝,捷運站,捷運文湖線辛亥站,辛亥站1樓大廳
臺北捷運麟光站BR06,和平東路3段410號,63000030,25.018535,121.558791,交通要衝,捷運站,捷運文湖線麟光站,麟光站1樓大廳
臺北捷運六張犁站BR07,和平東路3段168號,63000030,25.023749,121.552984,交通要衝,捷運站,捷運文湖線六張犁站,六張犁站3樓大廳
臺北捷運科技大樓站BR08,復興南路2段235號,63000030,25.026146,121.543647,交通要衝,捷運站,捷運文湖線科技大樓站,科技大樓站3樓大廳
臺北捷運忠孝復興站BR10,忠孝東路3段302號,63000030,25.041643,121.543768,交通要衝,捷運站,捷運忠孝復興站3樓大廳,捷運文湖線忠孝復興站
臺北捷運大安站BR09,信義路4段2號,63000030,25.033246,121.543572,交通要衝,捷運站,捷運大安站一樓,捷運文湖線大安站
臺北捷運南京復興站BR11,南京東路3段253號,63000010,25.052256,121.543969,交通要衝,捷運站,捷運文湖線南京復興站,南京復興站3樓大廳
臺北捷運中山國中站BR12,復興北路376號,63000040,25.060809,121.544151,交通要衝,捷運站,捷運文湖線中山國中站三樓大廳,靠近三樓公務門旁
臺北捷運松山機場站BR13,敦化北路338號,63000010,25.063039,121.551919,交通要衝,捷運站,捷運松山機場站地下二樓大廳層,捷運松山機場站地下二樓大廳層詢問處後方
臺北捷運大直站BR14,北安路534-1號,63000040,25.079497,121.546844,交通要衝,捷運站,詢問處附近,男女廁旁
臺北捷運劍南路站BR15,北安路798號,63000040,25.084875,121.555537,交通要衝,捷運站,主詢問處附近,閘門區旁
臺北捷運西湖站BR16,內湖路1段256號,63000100,25.082159,121.56717,交通要衝,捷運站,主詢問處附近,售票區
臺北捷運港墘站BR17,內湖路1段663號,63000100,25.080048,121.575024,交通要衝,捷運站,主詢問處附近,主詢問處閘門區旁
臺北捷運文德站BR18,文德路214號,63000100,25.078552,121.584714,交通要衝,捷運站,主詢問處附近,公佈欄旁
